questions,answers
Who all are the Guest of Honours in the conference?,The Guest of Honours for the AI 360 Advanced Powered Learning Conference are: - <ul><li>Panneerselvam (PS) Madanagopal</li><li>Prof. Anil Kashyap</li><li>Prof. (Dr.) Simon Mak</li><li>Dr. Ashwin Fernandes</li><li>Dr. Sunil Shukla</li><li>Dr. Pankaj Mittal</li><li>Dr. Raghunath Anant Mashelkar</li><li>Dr. Raj Nehru</li></ul>
Can you list the Guest of Honours for the event?,The Guest of Honours for the AI 360 Advanced Powered Learning Conference are: - <ul><li>Panneerselvam (PS) Madanagopal</li><li>Prof. Anil Kashyap</li><li>Prof. (Dr.) Simon Mak</li><li>Dr. Ashwin Fernandes</li><li>Dr. Sunil Shukla</li><li>Dr. Pankaj Mittal</li><li>Dr. Raghunath Anant Mashelkar</li><li>Dr. Raj Nehru</li></ul>
Who are the dignitaries attending the conference?,The Guest of Honours for the AI 360 Advanced Powered Learning Conference are: - <ul><li>Panneerselvam (PS) Madanagopal</li><li>Prof. Anil Kashyap</li><li>Prof. (Dr.) Simon Mak</li><li>Dr. Ashwin Fernandes</li><li>Dr. Sunil Shukla</li><li>Dr. Pankaj Mittal</li><li>Dr. Raghunath Anant Mashelkar</li><li>Dr. Raj Nehru</li></ul>
Conference ke Guest of Honours kaun hain?,The Guest of Honours for the AI 360 Advanced Powered Learning Conference are: - <ul><li>Panneerselvam (PS) Madanagopal</li><li>Prof. Anil Kashyap</li><li>Prof. (Dr.) Simon Mak</li><li>Dr. Ashwin Fernandes</li><li>Dr. Sunil Shukla</li><li>Dr. Pankaj Mittal</li><li>Dr. Raghunath Anant Mashelkar</li><li>Dr. Raj Nehru</li></ul>
Guest of Honours ki list de sakte hain?,The Guest of Honours for the AI 360 Advanced Powered Learning Conference are: - <ul><li>Panneerselvam (PS) Madanagopal</li><li>Prof. Anil Kashyap</li><li>Prof. (Dr.) Simon Mak</li><li>Dr. Ashwin Fernandes</li><li>Dr. Sunil Shukla</li><li>Dr. Pankaj Mittal</li><li>Dr. Raghunath Anant Mashelkar</li><li>Dr. Raj Nehru</li></ul>
Is event me kaun-kaun special guests hain?,The Guest of Honours for the AI 360 Advanced Powered Learning Conference are: - <ul><li>Panneerselvam (PS) Madanagopal</li><li>Prof. Anil Kashyap</li><li>Prof. (Dr.) Simon Mak</li><li>Dr. Ashwin Fernandes</li><li>Dr. Sunil Shukla</li><li>Dr. Pankaj Mittal</li><li>Dr. Raghunath Anant Mashelkar</li><li>Dr. Raj Nehru</li></ul>
Who is Panneerselvam (PS) Madanagopal?,"Panneerselvam (PS) Madanagopal is the Chief Executive Officer of MeitY Startup Hub, under the Ministry of Electronics & Information Technology. He leads MeitY Startup Hub, supporting tech-driven startups and AI innovation initiatives."
Can you introduce Panneerselvam Madanagopal?,"Panneerselvam (PS) Madanagopal is the Chief Executive Officer of MeitY Startup Hub, under the Ministry of Electronics & Information Technology. He leads MeitY Startup Hub, supporting tech-driven startups and AI innovation initiatives."
"Who is PS Madanagopal, and what does he do?","Panneerselvam (PS) Madanagopal is the Chief Executive Officer of MeitY Startup Hub, under the Ministry of Electronics & Information Technology. He leads MeitY Startup Hub, supporting tech-driven startups and AI innovation initiatives."
Panneerselvam Madanagopal kaun hain?,"Panneerselvam (PS) Madanagopal is the Chief Executive Officer of MeitY Startup Hub, under the Ministry of Electronics & Information Technology. He leads MeitY Startup Hub, supporting tech-driven startups and AI innovation initiatives."
