questions,answers
Who all are the Keynote Speakers in the conference?,The Keynote Speakers for the AI 360 Advanced Powered Learning Conference are: -<ul><li>Dr. Ashwini Kumar Sharma</li><li>Mr. Aarsh Srivastava</li><li>Mr. Ashish Gupta</li><li>Dr. Neeraj Saxena</li><li>Prof. Prabhat Ranjan</li><li>Prof. Rajasekharan Pillai VN</li><li>Dr. Rakesh Kumar Jain</li><li>Dr. Poonam Kashyap</li><li>Dr. Dharmesh J. Shah</li><li>Dr. Prasad D. Khandekar</li><li>Dr. Sohan Chitlange</li><li>Prof. (Dr.) Siddharth Jabade</li><li>Dr. Rajesh Dixit</li><li>Dr. Kuldeep Raina</li><li>Dr. Sayalee Gankar</li><li>Prof. (Dr.) Sundeep Mishra</li><li>Prof. Sanjeev Sonawane</li><li>Prof. Ankur Kulkarni</li><li>Prof. N.J. Pawar</li><li>Prof. (Dr.) B.P. Singh</li><li>Prof. (Dr.) Ajay Bhushan</li><li>Prof. Gopalkrishna Joshi</li><li>Prof. (Dr.) G.K. Shirude</li><li>Dr. Shrihari (Prakash) Honwad</li><li>Dr. Atul Kumar</li><li>Prof. (Dr.) Tabrez Ahmad</li><li>Prof. Adit Gupta</li><li>Dr. Devender Pathak</li><li>Dr. Subodh Agnihotri</li><li>Dr. R. Ganesan</li><li>Dr. Rajesh Khanna</li><li>Dr. Shrirang Altekar</li><li>Dr. Girish Kumar Chaudhari</li><li>Dr. Prashant Dave</li><li>Dr. N.B. Bhalerao</li><li>Dr. Mahesh Chitnis</li><li>Dr. Deepak D. Patil</li><li>Dr. Pawan Sharma</li></ul>
Can you list the Keynote Speakers for the event?,The Keynote Speakers for the AI 360 Advanced Powered Learning Conference are: -<ul><li>Dr. Ashwini Kumar Sharma</li><li>Mr. Aarsh Srivastava</li><li>Mr. Ashish Gupta</li><li>Dr. Neeraj Saxena</li><li>Prof. Prabhat Ranjan</li><li>Prof. Rajasekharan Pillai VN</li><li>Dr. Rakesh Kumar Jain</li><li>Dr. Poonam Kashyap</li><li>Dr. Dharmesh J. Shah</li><li>Dr. Prasad D. Khandekar</li><li>Dr. Sohan Chitlange</li><li>Prof. (Dr.) Siddharth Jabade</li><li>Dr. Rajesh Dixit</li><li>Dr. Kuldeep Raina</li><li>Dr. Sayalee Gankar</li><li>Prof. (Dr.) Sundeep Mishra</li><li>Prof. Sanjeev Sonawane</li><li>Prof. Ankur Kulkarni</li><li>Prof. N.J. Pawar</li><li>Prof. (Dr.) B.P. Singh</li><li>Prof. (Dr.) Ajay Bhushan</li><li>Prof. Gopalkrishna Joshi</li><li>Prof. (Dr.) G.K. Shirude</li><li>Dr. Shrihari (Prakash) Honwad</li><li>Dr. Atul Kumar</li><li>Prof. (Dr.) Tabrez Ahmad</li><li>Prof. Adit Gupta</li><li>Dr. Devender Pathak</li><li>Dr. Subodh Agnihotri</li><li>Dr. R. Ganesan</li><li>Dr. Rajesh Khanna</li><li>Dr. Shrirang Altekar</li><li>Dr. Girish Kumar Chaudhari</li><li>Dr. Prashant Dave</li><li>Dr. N.B. Bhalerao</li><li>Dr. Mahesh Chitnis</li><li>Dr. Deepak D. Patil</li><li>Dr. Pawan Sharma</li></ul>
Who are the main speakers at the conference?,The Keynote Speakers for the AI 360 Advanced Powered Learning Conference are: -<ul><li>Dr. Ashwini Kumar Sharma</li><li>Mr. Aarsh Srivastava</li><li>Mr. Ashish Gupta</li><li>Dr. Neeraj Saxena</li><li>Prof. Prabhat Ranjan</li><li>Prof. Rajasekharan Pillai VN</li><li>Dr. Rakesh Kumar Jain</li><li>Dr. Poonam Kashyap</li><li>Dr. Dharmesh J. Shah</li><li>Dr. Prasad D. Khandekar</li><li>Dr. Sohan Chitlange</li><li>Prof. (Dr.) Siddharth Jabade</li><li>Dr. Rajesh Dixit</li><li>Dr. Kuldeep Raina</li><li>Dr. Sayalee Gankar</li><li>Prof. (Dr.) Sundeep Mishra</li><li>Prof. Sanjeev Sonawane</li><li>Prof. Ankur Kulkarni</li><li>Prof. N.J. Pawar</li><li>Prof. (Dr.) B.P. Singh</li><li>Prof. (Dr.) Ajay Bhushan</li><li>Prof. Gopalkrishna Joshi</li><li>Prof. (Dr.) G.K. Shirude</li><li>Dr. Shrihari (Prakash) Honwad</li><li>Dr. Atul Kumar</li><li>Prof. (Dr.) Tabrez Ahmad</li><li>Prof. Adit Gupta</li><li>Dr. Devender Pathak</li><li>Dr. Subodh Agnihotri</li><li>Dr. R. Ganesan</li><li>Dr. Rajesh Khanna</li><li>Dr. Shrirang Altekar</li><li>Dr. Girish Kumar Chaudhari</li><li>Dr. Prashant Dave</li><li>Dr. N.B. Bhalerao</li><li>Dr. Mahesh Chitnis</li><li>Dr. Deepak D. Patil</li><li>Dr. Pawan Sharma</li></ul>
Conference ke keynote speakers kaun hain?,The Keynote Speakers for the AI 360 Advanced Powered Learning Conference are: -<ul><li>Dr. Ashwini Kumar Sharma</li><li>Mr. Aarsh Srivastava</li><li>Mr. Ashish Gupta</li><li>Dr. Neeraj Saxena</li><li>Prof. Prabhat Ranjan</li><li>Prof. Rajasekharan Pillai VN</li><li>Dr. Rakesh Kumar Jain</li><li>Dr. Poonam Kashyap</li><li>Dr. Dharmesh J. Shah</li><li>Dr. Prasad D. Khandekar</li><li>Dr. Sohan Chitlange</li><li>Prof. (Dr.) Siddharth Jabade</li><li>Dr. Rajesh Dixit</li><li>Dr. Kuldeep Raina</li><li>Dr. Sayalee Gankar</li><li>Prof. (Dr.) Sundeep Mishra</li><li>Prof. Sanjeev Sonawane</li><li>Prof. Ankur Kulkarni</li><li>Prof. N.J. Pawar</li><li>Prof. (Dr.) B.P. Singh</li><li>Prof. (Dr.) Ajay Bhushan</li><li>Prof. Gopalkrishna Joshi</li><li>Prof. (Dr.) G.K. Shirude</li><li>Dr. Shrihari (Prakash) Honwad</li><li>Dr. Atul Kumar</li><li>Prof. (Dr.) Tabrez Ahmad</li><li>Prof. Adit Gupta</li><li>Dr. Devender Pathak</li><li>Dr. Subodh Agnihotri</li><li>Dr. R. Ganesan</li><li>Dr. Rajesh Khanna</li><li>Dr. Shrirang Altekar</li><li>Dr. Girish Kumar Chaudhari</li><li>Dr. Prashant Dave</li><li>Dr. N.B. Bhalerao</li><li>Dr. Mahesh Chitnis</li><li>Dr. Deepak D. Patil</li><li>Dr. Pawan Sharma</li></ul>
Keynote speakers ki list de sakte hain?,The Keynote Speakers for the AI 360 Advanced Powered Learning Conference are: -<ul><li>Dr. Ashwini Kumar Sharma</li><li>Mr. Aarsh Srivastava</li><li>Mr. Ashish Gupta</li><li>Dr. Neeraj Saxena</li><li>Prof. Prabhat Ranjan</li><li>Prof. Rajasekharan Pillai VN</li><li>Dr. Rakesh Kumar Jain</li><li>Dr. Poonam Kashyap</li><li>Dr. Dharmesh J. Shah</li><li>Dr. Prasad D. Khandekar</li><li>Dr. Sohan Chitlange</li><li>Prof. (Dr.) Siddharth Jabade</li><li>Dr. Rajesh Dixit</li><li>Dr. Kuldeep Raina</li><li>Dr. Sayalee Gankar</li><li>Prof. (Dr.) Sundeep Mishra</li><li>Prof. Sanjeev Sonawane</li><li>Prof. Ankur Kulkarni</li><li>Prof. N.J. Pawar</li><li>Prof. (Dr.) B.P. Singh</li><li>Prof. (Dr.) Ajay Bhushan</li><li>Prof. Gopalkrishna Joshi</li><li>Prof. (Dr.) G.K. Shirude</li><li>Dr. Shrihari (Prakash) Honwad</li><li>Dr. Atul Kumar</li><li>Prof. (Dr.) Tabrez Ahmad</li><li>Prof. Adit Gupta</li><li>Dr. Devender Pathak</li><li>Dr. Subodh Agnihotri</li><li>Dr. R. Ganesan</li><li>Dr. Rajesh Khanna</li><li>Dr. Shrirang Altekar</li><li>Dr. Girish Kumar Chaudhari</li><li>Dr. Prashant Dave</li><li>Dr. N.B. Bhalerao</li><li>Dr. Mahesh Chitnis</li><li>Dr. Deepak D. Patil</li><li>Dr. Pawan Sharma</li></ul>
AI 360 event me kaun-kaun speakers hain?,The Keynote Speakers for the AI 360 Advanced Powered Learning Conference are: -<ul><li>Dr. Ashwini Kumar Sharma</li><li>Mr. Aarsh Srivastava</li><li>Mr. Ashish Gupta</li><li>Dr. Neeraj Saxena</li><li>Prof. Prabhat Ranjan</li><li>Prof. Rajasekharan Pillai VN</li><li>Dr. Rakesh Kumar Jain</li><li>Dr. Poonam Kashyap</li><li>Dr. Dharmesh J. Shah</li><li>Dr. Prasad D. Khandekar</li><li>Dr. Sohan Chitlange</li><li>Prof. (Dr.) Siddharth Jabade</li><li>Dr. Rajesh Dixit</li><li>Dr. Kuldeep Raina</li><li>Dr. Sayalee Gankar</li><li>Prof. (Dr.) Sundeep Mishra</li><li>Prof. Sanjeev Sonawane</li><li>Prof. Ankur Kulkarni</li><li>Prof. N.J. Pawar</li><li>Prof. (Dr.) B.P. Singh</li><li>Prof. (Dr.) Ajay Bhushan</li><li>Prof. Gopalkrishna Joshi</li><li>Prof. (Dr.) G.K. Shirude</li><li>Dr. Shrihari (Prakash) Honwad</li><li>Dr. Atul Kumar</li><li>Prof. (Dr.) Tabrez Ahmad</li><li>Prof. Adit Gupta</li><li>Dr. Devender Pathak</li><li>Dr. Subodh Agnihotri</li><li>Dr. R. Ganesan</li><li>Dr. Rajesh Khanna</li><li>Dr. Shrirang Altekar</li><li>Dr. Girish Kumar Chaudhari</li><li>Dr. Prashant Dave</li><li>Dr. N.B. Bhalerao</li><li>Dr. Mahesh Chitnis</li><li>Dr. Deepak D. Patil</li><li>Dr. Pawan Sharma</li></ul>
Who is Dr. Ashwini Kumar Sharma?,"Dr. Ashwini Kumar Sharma is the Pro Chancellor of Vijaybhoomi University and Director General of NIELIT, Govt of India. He leads initiatives on AI-driven education and technology-based skill development in India."
Can you introduce Dr. Ashwini Kumar Sharma?,"Dr. Ashwini Kumar Sharma is the Pro Chancellor of Vijaybhoomi University and Director General of NIELIT, Govt of India. He leads initiatives on AI-driven education and technology-based skill development in India."
Who is Dr. Ashwini Sharma and what does he do?,"Dr. Ashwini Kumar Sharma is the Pro Chancellor of Vijaybhoomi University and Director General of NIELIT, Govt of India. He leads initiatives on AI-driven education and technology-based skill development in India."
Dr. Ashwini Kumar Sharma kaun hain?,"Dr. Ashwini Kumar Sharma is the Pro Chancellor of Vijaybhoomi University and Director General of NIELIT, Govt of India. He leads initiatives on AI-driven education and technology-based skill development in India."
