questions,answers
Who are the sponsors of the conference?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
Can you list the sponsors of AI 360?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
Which organizations are sponsoring the event?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
Conference ke sponsors kaun hain?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
Sponsors ki list de sakte hain?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
AI 360 ke main sponsors kaun hain?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
Who are the partners of the conference?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
Which organizations are partners in AI 360?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
Can you list the event partners?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
AI 360 ke partners kaun hain?,"The conference has esteemed sponsors and partners, including:<ul><li><strong>AI Partner:</strong> Gravitas AI</li><li><strong>Platinum Partner:</strong> NICMAR</li><li><strong>Supporting Partner:</strong> Fretbox</li></ul>"
