Topic,Question,English Version 1,English Version 2,Hinglish Version 1,Hinglish Version 2,Hinglish Version 3,Answer
Guest of Honours,Who all are the Guest of Honours in the conference?,Can you list the Guest of Honours for the event?,Who are the dignitaries attending the conference?,Conference ke Guest of Honours kaun hain?,Guest of Honours ki list de sakte hain?,Is event me kaun-kaun special guests hain?,"The Guest of Honours for the AI 360 Advanced Powered Learning Conference are:
• Panneerselvam (PS) Madangopal – Chief Executive Officer, MeitY Startup Hub, Ministry of Electronics & IT.
• Prof. Anil Kashyap – President & Chancellor, NICMAR University, Director General, NICMAR.
• Prof. (Dr.) Simon Mak – 1st American Founding Vice Chancellor in India, Universal AI University, Bombay.
• Dr. Ashwin Fernandes – Executive Director, AMESA QS Quacquarelli Symonds.
• Prof. Parag Shah – Director, MIDAS School of Entrepreneurship, Founding Chairman, Flame University, Pune.
• Dr. Madhu Chitkara – Co-Founder & Pro-Chancellor, Chitkara University, Punjab & HP.
• Dr. Swati Mujumdar – Pro-Chancellor, Symbiosis Skill Universities, Indore & Pune.
• Col. Yogesh Joshi – Director, Hinjawadi Industries Association (HIA), Pune Maharashtra."
Guest of Honour - Panneerselvam (PS) Madanagopal,Who is Panneerselvam (PS) Madanagopal?,Can you introduce Panneerselvam Madanagopal?,"Who is PS Madanagopal, and what does he do?",Panneerselvam Madanagopal kaun hain?,PS Madanagopal ke baare mein bata sakte hain?,Panneerselvam Madanagopal kaun hai aur kya karte hain?,"Panneerselvam (PS) Madanagopal is the Chief Executive Officer of MeitY Startup Hub, under the Ministry of Electronics & Information Technology."
Guest of Honour - Panneerselvam (PS) Madanagopal,What is Panneerselvam Madanagopal's role in AI & technology?,How has PS Madanagopal contributed to AI and technology?,What is PS Madanagopal’s significance in AI?,Panneerselvam Madanagopal AI aur technology me kya role play karte hain?,AI aur technology me PS Madanagopal ka kya yogdan hai?,PS Madanagopal AI aur tech field me kya kaam kar rahe hain?,"He leads MeitY Startup Hub, supporting tech-driven startups and AI innovation initiatives."
Guest of Honour - Prof. Anil Kashyap,Who is Prof. Anil Kashyap?,Can you tell me about Prof. Anil Kashyap?,"Who is Anil Kashyap, and what does he do?",Prof. Anil Kashyap kaun hain?,Anil Kashyap ke baare me thoda bata sakte hain?,Prof. Anil Kashyap kis field me expert hain?,Prof. Anil Kashyap is the President & Chancellor of NICMAR University and also serves as the Director General of NICMAR.
Guest of Honour - Prof. Anil Kashyap,What is Prof. Anil Kashyap’s contribution to education?,How has Prof. Anil Kashyap influenced the education sector?,What impact has Anil Kashyap made in education?,Prof. Anil Kashyap ka education me kya yogdan hai?,Education field me Prof. Anil Kashyap ka kya role hai?,Anil Kashyap ne education sector me kya contribute kiya hai?,He has played a key role in advancing AI and construction management education at NICMAR University.
Guest of Honour - Prof. (Dr.) Simon Mak,Who is Prof. (Dr.) Simon Mak?,Can you introduce Prof. Simon Mak?,Who is Dr. Simon Mak and what does he do?,Prof. (Dr.) Simon Mak kaun hain?,Kya aap Simon Mak ke baare me bata sakte hain?,Simon Mak kaun hain aur unka kaam kya hai?,"Prof. (Dr.) Simon Mak is the first American Founding Vice Chancellor in India, at Universal AI University, Bombay."
Guest of Honour - Prof. (Dr.) Simon Mak,Why is Prof. (Dr.) Simon Mak significant to AI education?,What role does Prof. Simon Mak play in AI education?,How has Simon Mak impacted AI learning?,Prof. Simon Mak AI education ke liye important kyun hain?,AI education me Prof. Simon Mak ka kya yogdan hai?,AI learning field me Simon Mak ka impact kya hai?,He has pioneered AI-driven higher education programs and has contributed to global AI academic collaborations.
Guest of Honour - Dr. Ashwin Fernandes,Who is Dr. Ashwin Fernandes?,Can you tell me about Dr. Ashwin Fernandes?,Who is Dr. Ashwin Fernandes and what does he do?,Dr. Ashwin Fernandes kaun hain?,Dr. Ashwin Fernandes ke baare me bata sakte hain?,Ashwin Fernandes kis field me kaam karte hain?,"Dr. Ashwin Fernandes is the Executive Director for AMESA at QS Quacquarelli Symonds, a global education ranking organization."
Guest of Honour - Dr. Ashwin Fernandes,What is Dr. Ashwin Fernandes' expertise?,In which field is Dr. Ashwin Fernandes an expert?,What are Dr. Ashwin Fernandes’ key areas of knowledge?,Dr. Ashwin Fernandes kis field me expert hain?,Dr. Fernandes ka expertise kis area me hai?,Dr. Ashwin Fernandes kis domain me kaam karte hain?,"He specializes in global university rankings, AI education policies, and academic excellence strategies."
Guest of Honour - Dr. Sunil Shukla,Who is Dr. Sunil Shukla?,Can you introduce Dr. Sunil Shukla?,"Who is Sunil Shukla, and what does he do?",Dr. Sunil Shukla kaun hain?,Sunil Shukla ke baare me bata sakte hain?,Dr. Sunil Shukla ka kya kaam hai?,Dr. Sunil Shukla is the Director General of the Entrepreneurship Development Institute of India (EDII).
