Topic,Question,English Version 1,English Version 2,Hinglish Version 1,Hinglish Version 2,Hinglish Version 3,Answer
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Pro Chancellor of Vijaybhoomi University and Director General of NIELIT, Govt of India."
Keynote Speaker  {Speaker},What is {Speaker} role in AI education?,How does {Speaker} contribute to AI education?,What role does {Speaker} play in AI learning?,{Speaker} ka AI education me kya yogdan hai?,AI education me {Speaker} ka kya role hai?,AI learning field me {Speaker} ka impact kya hai?,He leads initiatives on AIdriven education and technologybased skill development in India.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,{Speaker} is the Pro Chancellor of JIS University.
Keynote Speaker  {Speaker},What is {Speaker} known for?,What are {Speaker} key achievements?,What contributions has {Speaker} made in his field?,{Speaker} kis cheez ke liye famous hain?,{Speaker} ka main contribution kya hai?,{Speaker} kis field me expert hain?,He focuses on integrating AI and innovation into higher education curricula.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of D Y Patil International University, Akurdi, Pune."
Keynote Speaker  {Speaker},How does {Speaker} contribute to AI education?,What role does {Speaker} play in AI education?,How has {Speaker} impacted AI learning?,{Speaker} ka AI education me kya yogdan hai?,AI education me {Speaker} ka kya role hai?,AI learning field me {Speaker} ka impact kya hai?,He advocates for futuristic AIdriven university programs.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,He is the Vice Chancellor of Somaiya Vidyavihar University.
Keynote Speaker  {Speaker},What is {Speaker} area of expertise?,In which field is {Speaker} an expert?,What are {Speaker} key areas of knowledge?,{Speaker} kis field me expert hain?,{Speaker} kis domain me kaam karte hain?,{Speaker} ka expertise kis area me hai?,His expertise lies in AI ethics and policy frameworks in education.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Ajeenkya D Y Patil University, Pune."
Keynote Speaker  {Speaker},What contributions has {Speaker} made in AI?,How has {Speaker} contributed to AI?,What impact has {Speaker} had in AI?,{Speaker} ka AI me kya yogdan hai?,AI me {Speaker} ka kya role hai?,{Speaker} ne AI field me kya contribute kiya hai?,He has introduced AIbased learning modules and research collaborations at the university.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does she do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karti hain?,"{Speaker} is the Vice Chancellor of Alard University, Pune."
Keynote Speaker  {Speaker},How does {Speaker} support AI learning?,What role does {Speaker} play in AI education?,How does {Speaker} contribute to AI research?,{Speaker} AI learning me kaise madad karti hain?,AI education me {Speaker} ka kya role hai?,{Speaker} AI me kaise support karti hain?,She promotes AI integration in interdisciplinary studies.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Indrashil University, Gujarat."
Keynote Speaker  {Speaker},What is {Speaker} contribution to AI?,How has {Speaker} impacted AI development?,What contributions has {Speaker} made in AI?,{Speaker} ka AI field me kya yogdan hai?,AI me {Speaker} ka kya role hai?,{Speaker} ne AI me kya contribute kiya hai?,He focuses on AIdriven healthcare innovations.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of DES Pune University, Pune."
Keynote Speaker  {Speaker},What is {Speaker} focus in AI?,What are {Speaker} key research areas in AI?,In which aspect of AI does {Speaker} specialize?,{Speaker} ka AI me kya focus hai?,AI me {Speaker} kis area me kaam kar rahe hain?,{Speaker} ka AI field me specialization kya hai?,He specializes in AI applications in engineering education.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of D Y Patil Dnyan Prasad University, Pune."
Keynote Speaker  {Speaker},How does {Speaker} contribute to AI education?,What is {Speaker} role in AI education?,How has {Speaker} helped AI learning?,{Speaker} AI education me kaise yogdan dete hain?,AI learning me {Speaker} ka kya role hai?,{Speaker} AI education ko kaise support karte hain?,He integrates AI research into pharmaceutical sciences.
