Topic,Question,English Version 1,English Version 2,Hinglish Version 1,Hinglish Version 2,Hinglish Version 3,Answer
Keynote Speakers,Who all are the Keynote Speakers in the conference?,Can you list the Keynote Speakers for the event?,Who are the main speakers at the conference?,Conference ke keynote speakers kaun hain?,Keynote speakers ki list de sakte hain?,AI 360 event me kaun-kaun speakers hain?,"The Keynote Speakers for the AI 360 Advanced Powered Learning Conference are:
' Dr. Ashwini Kumar Sharma ' Pro Chancellor, Vijaybhoomi University; Ex-Director General, NIELIT, Govt. of India.
' Dr. Neeraj Saxena ' Pro-Chancellor, JIS University.
' Prof. Prabhat Ranjan ' Vice Chancellor, D Y Patil International University, Akurdi, Pune.
' Prof. Rajasekharan Pillai VN ' Vice Chancellor, Somaiya Vidyavihar University.
' Dr. Rakesh Kumar Jain ' Vice Chancellor, Ajeenkya D Y Patil University, Pune.
' Dr. Poonam Kashyap ' Vice Chancellor, Alard University, Pune.
' Dr. Dharmesh J. Shah ' Vice Chancellor, Indrashil University, Gujarat.
' Dr. Prasad D. Khandekar ' Vice Chancellor, DES Pune University, Pune.
' Dr. Sohan Chitlange ' Vice Chancellor, Dr. D Y Patil Dnyan Prasad University, Pune.
' Prof. (Dr.) Siddharth Jabade ' Vice Chancellor, Vishwakarma University, Pune.
' Dr. Rajesh Dixit ' Vice Chancellor, Renaissance University, Indore.
' Dr. Kuldeep Raina ' Vice Chancellor, Ramaiah University.
' Dr. Sayalee Gankar ' Vice Chancellor, D Y Patil University, Pune, Ambi Maharashtra, India.
' Prof. (Dr.) Sundeep Mishra ' Vice Chancellor, NIMS University Rajasthan.
' Prof. Sanjeev Sonawane ' Vice Chancellor, Yashwantrao Chavan Maharashtra Open University, Nashik.
' Prof. Ankur Kulkarni ' Vice Chancellor, SAGE University, Indore.
' Prof. N.J. Pawar ' Vice Chancellor, Dr. D Y Patil Vidyapeeth, Pune.
' Prof. (Dr.) B.P. Singh ' Vice Chancellor, Maharishi University of Information Technology.
' Prof. (Dr.) Ajay Bhushan ' Vice Chancellor, Scope Global Skills University, Bhopal, MP.
' Prof. Gopalkrishna Joshi ' Founding Vice Chancellor, MIT Vishwaprayag University, Solapur.
' Prof. (Dr.) G.K. Shirude ' Vice Chancellor, Sri Balaji University, Pune.
' Dr. Shrihari (Prakash) Honwad ' Experience as Vice Chancellor at multiple AI-level universities, Indian Institute of Science (IISc).
' Dr. Atul Kumar ' Dean, Dr. D Y Patil B-School Pune, Maharashtra.
' Prof. (Dr.) Tabrez Ahmad ' Dean, Manav Law School & Former Vice Chancellor, GD Goenka University.
' Mr. Ashish Gupta ' Founder & CEO, FretBox.
' Prof. Adit Gupta ' Director, Institute of Education & Research.
' Mr. Aarsh Srivastava"
Keynote Speaker - Dr. Ashwini Kumar Sharma,Who is Dr. Ashwini Kumar Sharma?,Can you introduce Dr. Ashwini Kumar Sharma?,Who is Dr. Ashwini Sharma and what does he do?,Dr. Ashwini Kumar Sharma kaun hain?,Ashwini Sharma ke baare me bata sakte hain?,Dr. Ashwini Sharma kis field me kaam karte hain?,"Dr. Ashwini Kumar Sharma is the Pro Chancellor of Vijaybhoomi University and Director General of NIELIT, Govt of India."
Keynote Speaker - Dr. Ashwini Kumar Sharma,What is Dr. Ashwini Kumar Sharma's role in AI education?,How does Dr. Ashwini Sharma contribute to AI education?,What role does Ashwini Kumar Sharma play in AI learning?,Dr. Ashwini Sharma ka AI education me kya yogdan hai?,AI education me Dr. Ashwini Kumar Sharma ka kya role hai?,AI learning field me Ashwini Sharma ka impact kya hai?,He leads initiatives on AI-driven education and technology-based skill development in India.
Keynote Speaker - Dr. Neeraj Saxena,Who is Dr. Neeraj Saxena?,Can you introduce Dr. Neeraj Saxena?,Who is Dr. Neeraj Saxena and what does he do?,Dr. Neeraj Saxena kaun hain?,Neeraj Saxena ke baare me bata sakte hain?,Dr. Neeraj Saxena kis field me kaam karte hain?,Dr. Neeraj Saxena is the Pro Chancellor of JIS University.
Keynote Speaker - Dr. Neeraj Saxena,What is Dr. Neeraj Saxena known for?,What are Dr. Neeraj Saxena's key achievements?,What contributions has Dr. Neeraj Saxena made in his field?,Dr. Neeraj Saxena kis cheez ke liye famous hain?,Dr. Neeraj Saxena ka main contribution kya hai?,Neeraj Saxena kis field me expert hain?,He focuses on integrating AI and innovation into higher education curricula.
Keynote Speaker - Prof. Prabhat Ranjan,Who is Prof. Prabhat Ranjan?,Can you introduce Prof. Prabhat Ranjan?,Who is Prof. Prabhat Ranjan and what does he do?,Prof. Prabhat Ranjan kaun hain?,Prabhat Ranjan ke baare me bata sakte hain?,Prof. Prabhat Ranjan kis field me kaam karte hain?,"Prof. Prabhat Ranjan is the Vice Chancellor of D Y Patil International University, Akurdi, Pune."
Keynote Speaker - Prof. Prabhat Ranjan,How does Prof. Prabhat Ranjan contribute to AI education?,What role does Prof. Prabhat Ranjan play in AI education?,How has Prof. Prabhat Ranjan impacted AI learning?,Prof. Prabhat Ranjan ka AI education me kya yogdan hai?,AI education me Prof. Prabhat Ranjan ka kya role hai?,AI learning field me Prabhat Ranjan ka impact kya hai?,He advocates for futuristic AI-driven university programs.
Keynote Speaker - Prof. Rajasekharan Pillai VN,Who is Prof. Rajasekharan Pillai VN?,Can you introduce Prof. Rajasekharan Pillai VN?,Who is Prof. Pillai and what does he do?,Prof. Rajasekharan Pillai VN kaun hain?,Rajasekharan Pillai ke baare me bata sakte hain?,Prof. Rajasekharan Pillai kis field me kaam karte hain?,He is the Vice Chancellor of Somaiya Vidyavihar University.
Keynote Speaker - Prof. Rajasekharan Pillai VN,What is Prof. Rajasekharan Pillai VN's area of expertise?,In which field is Prof. Rajasekharan Pillai an expert?,What are Prof. Rajasekharan Pillai's key areas of knowledge?,Prof. Rajasekharan Pillai kis field me expert hain?,Prof. Rajasekharan Pillai kis domain me kaam karte hain?,Prof. Rajasekharan Pillai ka expertise kis area me hai?,His expertise lies in AI ethics and policy frameworks in education.
Keynote Speaker - Dr. Rakesh Kumar Jain,Who is Dr. Rakesh Kumar Jain?,Can you introduce Dr. Rakesh Kumar Jain?,Who is Dr. Rakesh Kumar Jain and what does he do?,Dr. Rakesh Kumar Jain kaun hain?,Rakesh Kumar Jain ke baare me bata sakte hain?,Dr. Rakesh Kumar Jain kis field me kaam karte hain?,"Dr. Rakesh Kumar Jain is the Vice Chancellor of Ajeenkya D Y Patil University, Pune."
Keynote Speaker - Dr. Rakesh Kumar Jain,What contributions has Dr. Rakesh Kumar Jain made in AI?,How has Dr. Rakesh Kumar Jain contributed to AI?,What impact has Dr. Rakesh Kumar Jain had in AI?,Dr. Rakesh Kumar Jain ka AI me kya yogdan hai?,AI me Dr. Rakesh Kumar Jain ka kya role hai?,Dr. Rakesh Kumar Jain ne AI field me kya contribute kiya hai?,He has introduced AI-based learning modules and research collaborations at the university.
Keynote Speaker - Dr. Poonam Kashyap,Who is Dr. Poonam Kashyap?,Can you introduce Dr. Poonam Kashyap?,Who is Dr. Poonam Kashyap and what does she do?,Dr. Poonam Kashyap kaun hain?,Poonam Kashyap ke baare me bata sakte hain?,Dr. Poonam Kashyap kis field me kaam karti hain?,"Dr. Poonam Kashyap is the Vice Chancellor of Alard University, Pune."
