Topic,Question,English Version 1,English Version 2,Hinglish Version 1,Hinglish Version 2,Hinglish Version 3,Answer
Keynote Speakers,Who all are the Keynote Speakers in the conference?,Can you list the Keynote Speakers for the event?,Who are the main speakers at the conference?,Conference ke keynote speakers kaun hain?,Keynote speakers ki list de sakte hain?,AI 360 event me kaun-kaun speakers hain?,The Keynote Speakers for the AI 360 Advanced Powered Learning Conference are: -<ul><li>Dr. Ashwini Kumar Sharma</li><li>Mr. Aarsh Srivastava</li><li>Mr. Ashish Gupta</li><li>Dr. Neeraj Saxena</li><li>Prof. Prabhat Ranjan</li><li>Prof. Rajasekharan Pillai VN</li><li>Dr. Rakesh Kumar Jain</li><li>Dr. Poonam Kashyap</li><li>Dr. Dharmesh J. Shah</li><li>Dr. Prasad D. Khandekar</li><li>Dr. Sohan Chitlange</li><li>Prof. (Dr.) Siddharth Jabade</li><li>Dr. Rajesh Dixit</li><li>Dr. Kuldeep Raina</li><li>Dr. Sayalee Gankar</li><li>Prof. (Dr.) Sundeep Mishra</li><li>Prof. Sanjeev Sonawane</li><li>Prof. Ankur Kulkarni</li><li>Prof. N.J. Pawar</li><li>Prof. (Dr.) B.P. Singh</li><li>Prof. (Dr.) Ajay Bhushan</li><li>Prof. Gopalkrishna Joshi</li><li>Prof. (Dr.) G.K. Shirude</li><li>Dr. Shrihari (Prakash) Honwad</li><li>Dr. Atul Kumar</li><li>Prof. (Dr.) Tabrez Ahmad</li><li>Prof. Adit Gupta</li><li>Dr. Devender Pathak</li><li>Dr. Subodh Agnihotri</li><li>Dr. R. Ganesan</li><li>Dr. Rajesh Khanna</li><li>Dr. Shrirang Altekar</li><li>Dr. Girish Kumar Chaudhari</li><li>Dr. Prashant Dave</li><li>Dr. N.B. Bhalerao</li><li>Dr. Mahesh Chitnis</li><li>Dr. Deepak D. Patil</li><li>Dr. Pawan Sharma</li></ul>
Keynote Speaker - Dr. Ashwini Kumar Sharma,Who is Dr. Ashwini Kumar Sharma?,Can you introduce Dr. Ashwini Kumar Sharma?,Who is Dr. Ashwini Sharma and what does he do?,Dr. Ashwini Kumar Sharma kaun hain?,Ashwini Sharma ke baare me bata sakte hain?,Dr. Ashwini Sharma kis field me kaam karte hain?,"Dr. Ashwini Kumar Sharma is the Pro Chancellor of Vijaybhoomi University and Director General of NIELIT, Govt of India. He leads initiatives on AI-driven education and technology-based skill development in India."
Keynote Speaker - Dr. Ashwini Kumar Sharma,What is Dr. Ashwini Kumar Sharma role in AI education?,How does Dr. Ashwini Sharma contribute to AI education?,What role does Ashwini Kumar Sharma play in AI learning?,Dr. Ashwini Sharma ka AI education me kya yogdan hai?,AI education me Dr. Ashwini Kumar Sharma ka kya role hai?,AI learning field me Ashwini Sharma ka impact kya hai?,"Dr. Ashwini Kumar Sharma is the Pro Chancellor of Vijaybhoomi University and Director General of NIELIT, Govt of India. He leads initiatives on AI-driven education and technology-based skill development in India."
Keynote Speaker - Dr. Neeraj Saxena,Who is Dr. Neeraj Saxena?,Can you introduce Dr. Neeraj Saxena?,Who is Dr. Neeraj Saxena and what does he do?,Dr. Neeraj Saxena kaun hain?,Neeraj Saxena ke baare me bata sakte hain?,Dr. Neeraj Saxena kis field me kaam karte hain?,Dr. Neeraj Saxena is the Pro Chancellor of JIS University. He focuses on integrating AI and innovation into higher education curricula.
Keynote Speaker - Dr. Neeraj Saxena,What is Dr. Neeraj Saxena known for?,What are Dr. Neeraj Saxena key achievements?,What contributions has Dr. Neeraj Saxena made in his field?,Dr. Neeraj Saxena kis cheez ke liye famous hain?,Dr. Neeraj Saxena ka main contribution kya hai?,Neeraj Saxena kis field me expert hain?,Dr. Neeraj Saxena is the Pro Chancellor of JIS University. He focuses on integrating AI and innovation into higher education curricula.
Keynote Speaker - Prof. Prabhat Ranjan,Who is Prof. Prabhat Ranjan?,Can you introduce Prof. Prabhat Ranjan?,Who is Prof. Prabhat Ranjan and what does he do?,Prof. Prabhat Ranjan kaun hain?,Prabhat Ranjan ke baare me bata sakte hain?,Prof. Prabhat Ranjan kis field me kaam karte hain?,"Prof. Prabhat Ranjan is the Vice Chancellor of D Y Patil International University, Akurdi, Pune. He advocates for futuristic AI-driven university programs."
Keynote Speaker - Prof. Prabhat Ranjan,How does Prof. Prabhat Ranjan contribute to AI education?,What role does Prof. Prabhat Ranjan play in AI education?,How has Prof. Prabhat Ranjan impacted AI learning?,Prof. Prabhat Ranjan ka AI education me kya yogdan hai?,AI education me Prof. Prabhat Ranjan ka kya role hai?,AI learning field me Prabhat Ranjan ka impact kya hai?,"Prof. Prabhat Ranjan is the Vice Chancellor of D Y Patil International University, Akurdi, Pune. He advocates for futuristic AI-driven university programs."
Keynote Speaker - Prof. Rajasekharan Pillai VN,Who is Prof. Rajasekharan Pillai VN?,Can you introduce Prof. Rajasekharan Pillai VN?,Who is Prof. Pillai and what does he do?,Prof. Rajasekharan Pillai VN kaun hain?,Rajasekharan Pillai ke baare me bata sakte hain?,Prof. Rajasekharan Pillai kis field me kaam karte hain?,Prof. Rajasekharan Pillai is the Vice Chancellor of Somaiya Vidyavihar University. His expertise lies in AI ethics and policy frameworks in education.
Keynote Speaker - Prof. Rajasekharan Pillai VN,What is Prof. Rajasekharan Pillai VN area of expertise?,In which field is Prof. Rajasekharan Pillai an expert?,What are Prof. Rajasekharan Pillai key areas of knowledge?,Prof. Rajasekharan Pillai kis field me expert hain?,Prof. Rajasekharan Pillai kis domain me kaam karte hain?,Prof. Rajasekharan Pillai ka expertise kis area me hai?,Prof. Rajasekharan Pillai is the Vice Chancellor of Somaiya Vidyavihar University. His expertise lies in AI ethics and policy frameworks in education.
Keynote Speaker - Dr. Rakesh Kumar Jain,Who is Dr. Rakesh Kumar Jain?,Can you introduce Dr. Rakesh Kumar Jain?,Who is Dr. Rakesh Kumar Jain and what does he do?,Dr. Rakesh Kumar Jain kaun hain?,Rakesh Kumar Jain ke baare me bata sakte hain?,Dr. Rakesh Kumar Jain kis field me kaam karte hain?,"Dr. Rakesh Kumar Jain is the Vice Chancellor of Ajeenkya D Y Patil University, Pune. He has introduced AI-based learning modules and research collaborations at the university."
