Topic,Question,English Version 1,English Version 2,Hinglish Version 1,Hinglish Version 2,Hinglish Version 3,Answer
Guest of Honour  {Guest},Who is {Guest}?,Can you introduce {Guest}?,"Who is {Guest}, and what does he do?",{Guest} kaun hain?,{Guest} ke baare mein bata sakte hain?,{Guest} kaun hai aur kya karte hain?,"{Guest} is the Chief Executive Officer of MeitY Startup Hub, under the Ministry of Electronics & Information Technology."
Guest of Honour  {Guest},What is {Guest} role in AI & technology?,How has {Guest} contributed to AI and technology?,What is {Guest} significance in AI?,{Guest} AI aur technology me kya role play karte hain?,AI aur technology me {Guest} ka kya yogdan hai?,{Guest} AI aur tech field me kya kaam kar rahe hain?,"He leads MeitY Startup Hub, supporting techdriven startups and AI innovation initiatives."
Guest of Honour  {Guest},Who is {Guest}?,Can you tell me about {Guest}?,"Who is {Guest}, and what does he do?",{Guest} kaun hain?,{Guest} ke baare me thoda bata sakte hain?,{Guest} kis field me expert hain?,{Guest} is the President & Chancellor of NICMAR University and also serves as the Director General of NICMAR.
Guest of Honour  {Guest},What is {Guest} contribution to education?,How has {Guest} influenced the education sector?,What impact has {Guest} made in education?,{Guest} ka education me kya yogdan hai?,Education field me {Guest} ka kya role hai?,{Guest} ne education sector me kya contribute kiya hai?,He has played a key role in advancing AI and construction management education at NICMAR University.
Guest of Honour  {Guest},Who is {Guest}?,Can you introduce {Guest}?,Who is {Guest} and what does he do?,{Guest} kaun hain?,Kya aap {Guest} ke baare me bata sakte hain?,{Guest} kaun hain aur unka kaam kya hai?,"{Guest} is the first American Founding Vice Chancellor in India, at Universal AI University, Bombay."
Guest of Honour  {Guest},Why is {Guest} significant to AI education?,What role does {Guest} play in AI education?,How has {Guest} impacted AI learning?,{Guest} AI education ke liye important kyun hain?,AI education me {Guest} ka kya yogdan hai?,AI learning field me {Guest} ka impact kya hai?,He has pioneered AIdriven higher education programs and has contributed to global AI academic collaborations.
Guest of Honour  {Guest},Who is {Guest}?,Can you tell me about {Guest}?,Who is {Guest} and what does he do?,{Guest} kaun hain?,{Guest} ke baare me bata sakte hain?,{Guest} kis field me kaam karte hain?,"{Guest} is the Executive Director for AMESA at QS Quacquarelli Symonds, a global education ranking organization."
Guest of Honour  {Guest},What is {Guest}' expertise?,In which field is {Guest} an expert?,What are {Guest}' key areas of knowledge?,{Guest} kis field me expert hain?,{Guest} ka expertise kis area me hai?,{Guest} kis domain me kaam karte hain?,"He specializes in global university rankings, AI education policies, and academic excellence strategies."
Guest of Honour  {Guest},Who is {Guest}?,Can you introduce {Guest}?,"Who is {Guest}, and what does he do?",{Guest} kaun hain?,{Guest} ke baare me bata sakte hain?,{Guest} ka kya kaam hai?,{Guest} is the Director General of the Entrepreneurship Development Institute of India (EDII).
Guest of Honour  {Guest},What is {Guest} contribution to entrepreneurship?,How has {Guest} supported entrepreneurship?,What role does {Guest} play in entrepreneurship?,{Guest} ka entrepreneurship me kya yogdan hai?,Entrepreneurship me {Guest} ka kya role hai?,{Guest} ka startups aur business field me kya contribution hai?,He has played a key role in promoting AIdriven entrepreneurial strategies and skill development.
Guest of Honour  {Guest},Who is {Guest}?,Can you introduce {Guest}?,Who is {Guest} and what does he do?,{Guest} kaun hain?,{Guest} ke baare me bata sakte hain?,{Guest} kis field me kaam karte hain?,{Guest} is the Secretary General of the Association of Indian Universities (AIU).
Guest of Honour  {Guest},What is {Guest} role in education?,How has {Guest} contributed to the education sector?,What is {Guest} impact on education?,{Guest} ka education field me kya yogdan hai?,Education me {Guest} ka kya role hai?,{Guest} ne education sector me kya contribute kiya hai?,She focuses on policy reforms and the integration of AI into higher education.
Guest of Honour  {Guest},Who is {Guest}?,Can you introduce {Guest}?,"Who is {Guest}, and what does he do?",{Guest} kaun hain?,Kya aap {Guest} ke baare me bata sakte hain?,{Guest} kis field me expert hain?,{Guest} is a renowned scientist and former Director General of CSIR India.
Guest of Honour  {Guest},What are {Guest} contributions to AI?,How has {Guest} contributed to AI?,What impact has {Guest} made in AI research?,{Guest} ka AI field me kya yogdan hai?,AI me {Guest} ka kya role hai?,{Guest} ne AI me kya contribute kiya hai?,He has been a strong advocate for AIdriven research and innovation in India.
Guest of Honour  {Guest},Who is {Guest}?,Can you introduce {Guest}?,Who is {Guest} and what does he do?,{Guest} kaun hain?,{Guest} ke baare me bata sakte hain?,{Guest} kis field me kaam karte hain?,{Guest} is the Vice Chancellor of Shri Vishwakarma Skill University.
Guest of Honour  {Guest},What is {Guest} area of expertise?,In which field is {Guest} an expert?,What are {Guest} key areas of knowledge?,{Guest} kis field me expert hain?,{Guest} kis domain me kaam karte hain?,{Guest} ka expertise kis area me hai?,He specializes in AIpowered skill development and vocational education.
